NoOfEvals,IsmArexJggDoubleSphereUVr1_0_0,IsmArexJggDoubleSphereUVr1_0_1,IsmArexJggDoubleSphereUVr1_0_2,IsmArexJggDoubleSphereUVr1_0_3,IsmArexJggDoubleSphereUVr1_0_4,IsmArexJggDoubleSphereUVr1_0_5,IsmArexJggDoubleSphereUVr1_0_6,IsmArexJggDoubleSphereUVr1_0_7,IsmArexJggDoubleSphereUVr1_0_8,IsmArexJggDoubleSphereUVr1_0_9
0,46.40542104880304,52.8837800123389,34.75060902147135,69.84826580707391,34.95893425840357,64.21395985444616,75.1389990129486,29.430323457260656,32.465479137794325,60.58554398316073
50,46.40542104880304,52.8837800123389,39.36533551890312,36.69904247042077,34.95893425840357,64.21395985444616,62.14381518549362,29.430323457260656,32.465479137794325,53.84126084264529
550,19.454331572638004,17.103099827195457,7.862566799022245,13.601116640018406,8.336465545261325,19.44706474544143,27.979865923612238,10.96840608087629,14.398639438912095,8.656044226638658
1050,7.136137409504768,9.636836566912578,11.35747900681195,6.80099954080096,8.336465545261325,8.337177936850294,11.775667037987288,7.874366741876676,11.27716530309161,8.422940046177429
1550,4.392805477063332,6.036204125311715,4.335342840965508,4.400805669497798,5.077296541168431,5.2053065346125695,2.2947547507490706,3.7697949856000323,4.622136065671462,5.444812251616
2050,3.119525586830607,3.8217036912136644,2.5233942209456064,2.311773604485669,1.4038648232151327,4.576716380886798,3.5158028579514067,1.7095791128392603,2.7487831165995953,2.2593138501927266
2550,1.8079052276406002,1.9955059326631546,1.6883205016325122,1.079104448667828,1.2764563560586182,2.539918971085971,2.3285775753741924,1.7095791128392603,1.6277992491471605,2.2593138501927266
3050,0.6117465320386689,1.745833507864181,0.8595593160771601,0.36205141812998576,1.3815896573335151,1.5334138799916557,1.526039562743461,1.2205272131886762,1.01989717943539,0.5532738930352465
3550,0.44579188612096166,0.5517308562728583,0.43779187691830124,0.36205141812998576,0.7550258376399276,0.8212409584718904,0.7235401748093464,0.6889012673714869,0.43660637226931487,0.39603686134629146
4050,0.39398489130803316,0.4398480007662705,0.3182808529119484,0.36205141812998576,0.4406287278884662,0.4378529399275337,0.41777798755514706,0.3466364742330769,0.28276166117400753,0.24991951666299084
4550,0.28377918286915493,0.2850262916468393,0.19307763054883353,0.18886399068859813,0.24893768240076247,0.31691815858714556,0.3240443496453248,0.34573891072096746,0.24818396289421857,0.3049964859243939
5050,0.17346048611496087,0.21606820512893204,0.16522742930505555,0.18720433762978203,0.1533355217178361,0.23968215928787903,0.21665322152338296,0.20048342209401365,0.15716365620501854,0.19696903296732857
5550,0.1404321250999764,0.17029184102151879,0.13978163745531164,0.11572004828423953,0.13523120719707887,0.16108508616089917,0.18559745627020374,0.14616039835528183,0.1352059849032048,0.1510516288675184
6050,0.14223963890147606,0.12739061158583204,0.11246520918682124,0.11758984426328958,0.1292699791409554,0.14555442670339805,0.1522853324896734,0.13105040114033853,0.13085485155591386,0.12130437919449225
6550,0.11206958317664573,0.10819509738012933,0.10887354060622506,0.10946194796162872,0.11465404165632867,0.12147059802508497,0.12801191902354175,0.11739367705600752,0.10800922987478191,0.11348072348352964
7050,0.11206958317664573,0.10819509738012933,0.10624871563042743,0.10481020059754984,0.10697215768925596,0.11824232424254655,0.11085855826261602,0.10979157794773639,0.10549455260573468,0.1074990028643988
7550,0.10283954451780043,0.10452124948938897,0.10241156308852513,0.10338122212366316,0.10332277327189762,0.1076822821950392,0.10732104559328166,0.1042754300032596,0.10535287885267815,0.10223957898337761
